id,name,total
1,AAAS_AD,35
1,AAAS_AG,24
1,BES_AF,39
1,BES_CE,39
1,CON_full,106
1,CON_Short,57
1,LEAD_LF,4
1,LEAD_TA,16
1,LEAD_TF,41
1,NPI_full,6
2,AAAS_AD,34
2,AAAS_AG,39
2,BES_AF,35
2,BES_CE,35
2,CON_full,102
2,CON_Short,53
2,LEAD_LF,7
2,LEAD_TA,17
2,LEAD_TF,36
2,NPI_full,11
3,AAAS_AD,36
3,AAAS_AG,22
3,BES_AF,37
3,BES_CE,36
3,CON_full,94
3,CON_Short,53
3,LEAD_LF,5
3,LEAD_TA,18
3,LEAD_TF,36
3,NPI_full,8
4,AAAS_AD,28
4,AAAS_AG,21
4,BES_AF,26
4,BES_CE,32
4,CON_full,87
4,CON_Short,45
4,LEAD_LF,6
4,LEAD_TA,21
4,LEAD_TF,43
4,NPI_full,7
5,AAAS_AD,38
5,AAAS_AG,22
5,BES_AF,38
5,BES_CE,41
5,CON_full,88
5,CON_Short,46
5,LEAD_LF,5
5,LEAD_TA,23
5,LEAD_TF,41
5,NPI_full,4
6,AAAS_AD,39
6,AAAS_AG,19
6,BES_AF,42
6,BES_CE,38
6,CON_full,99
6,CON_Short,53
6,LEAD_LF,5
6,LEAD_TA,19
6,LEAD_TF,45
6,NPI_full,7
7,AAAS_AD,42
7,AAAS_AG,24
7,BES_AF,36
7,BES_CE,43
7,CON_full,98
7,CON_Short,49
7,LEAD_LF,3
7,LEAD_TA,27
7,LEAD_TF,50
7,NPI_full,2
8,AAAS_AD,30
8,AAAS_AG,19
8,BES_AF,27
8,BES_CE,28
8,CON_full,86
8,CON_Short,41
8,LEAD_LF,4
8,LEAD_TA,18
8,LEAD_TF,45
8,NPI_full,3
9,AAAS_AD,36
9,AAAS_AG,36
9,BES_AF,30
9,BES_CE,25
9,CON_full,110
9,CON_Short,63
9,LEAD_LF,4
9,LEAD_TA,17
9,LEAD_TF,34
9,NPI_full,5
10,AAAS_AD,19
10,AAAS_AG,13
10,BES_AF,33
10,BES_CE,39
10,CON_full,105
10,CON_Short,57
10,LEAD_LF,3
10,LEAD_TA,22
10,LEAD_TF,46
10,NPI_full,2
11,AAAS_AD,37
11,AAAS_AG,27
11,BES_AF,30
11,BES_CE,37
11,CON_full,90
11,CON_Short,43
11,LEAD_LF,5
11,LEAD_TA,20
11,LEAD_TF,44
11,NPI_full,0
12,AAAS_AD,35
12,AAAS_AG,20
12,BES_AF,36
12,BES_CE,40
12,CON_full,104
12,CON_Short,59
12,LEAD_LF,7
12,LEAD_TA,26
12,LEAD_TF,44
12,NPI_full,4
13,AAAS_AD,31
13,AAAS_AG,19
13,BES_AF,35
13,BES_CE,32
13,CON_full,92
13,CON_Short,48
13,LEAD_LF,5
13,LEAD_TA,22
13,LEAD_TF,43
13,NPI_full,2
14,AAAS_AD,39
14,AAAS_AG,18
14,BES_AF,26
14,BES_CE,39
14,CON_full,95
14,CON_Short,53
14,LEAD_LF,4
14,LEAD_TA,18
14,LEAD_TF,46
14,NPI_full,10
15,AAAS_AD,21
15,AAAS_AG,22
15,BES_AF,29
15,BES_CE,36
15,CON_full,84
15,CON_Short,39
15,LEAD_LF,7
15,LEAD_TA,19
15,LEAD_TF,39
15,NPI_full,13
16,AAAS_AD,40
16,AAAS_AG,47
16,BES_AF,27
16,BES_CE,33
16,CON_full,123
16,CON_Short,68
16,LEAD_LF,5
16,LEAD_TA,23
16,LEAD_TF,38
16,NPI_full,14
17,AAAS_AD,27
17,AAAS_AG,36
17,BES_AF,28
17,BES_CE,18
17,CON_full,85
17,CON_Short,35
17,LEAD_LF,4
17,LEAD_TA,20
17,LEAD_TF,46
17,NPI_full,3
18,AAAS_AD,35
18,AAAS_AG,28
18,BES_AF,35
18,BES_CE,35
18,CON_full,107
18,CON_Short,56
18,LEAD_LF,4
18,LEAD_TA,18
18,LEAD_TF,42
18,NPI_full,5
19,AAAS_AD,45
19,AAAS_AG,28
19,BES_AF,40
19,BES_CE,38
19,CON_full,112
19,CON_Short,66
19,LEAD_LF,6
19,LEAD_TA,20
19,LEAD_TF,42
19,NPI_full,6
